,intensity,latitude,longitude,validTimeUtc
0,13000,-15.31841,143.26407,2018-12-04T10:30:13.753+0000
1,-24000,-14.08913,132.84959,2018-12-04T10:29:38.311+0000
2,5000,-14.8895,126.6423,2018-12-04T10:30:09.690+0000
3,-18000,-13.99863,132.93251,2018-12-04T10:30:16.251+0000
4,-8000,-34.63997,34.11051,2018-12-04T10:29:34.774+0000
5,11000,-15.61641,144.49849,2018-12-04T10:29:27.757+0000
6,9000,-16.04309,125.32115,2018-12-04T10:30:08.378+0000
7,10000,-12.39097,132.93217,2018-12-04T10:30:20.171+0000
8,-22000,-15.74546,144.61241,2018-12-04T10:29:56.550+0000
9,-34000,-15.65726,144.14649,2018-12-04T10:30:02.939+0000
10,-24000,-15.61926,143.88158,2018-12-04T10:30:06.250+0000
11,5000,20.18758,-94.42494,2018-12-04T10:30:23.565+0000
12,3000,-16.30275,26.38343,2018-12-04T10:29:57.360+0000
13,-26000,-15.71392,125.4687,2018-12-04T10:29:48.964+0000
14,-23000,-14.71263,132.88567,2018-12-04T10:29:56.218+0000
15,-3000,-15.45676,22.19301,2018-12-04T10:29:53.936+0000
16,-11000,-15.31417,143.497,2018-12-04T10:29:28.380+0000
17,-6000,-4.95787,18.27575,2018-12-04T10:29:46.960+0000
18,-2000,-9.04203,34.76619,2018-12-04T10:29:39.062+0000
19,-11000,-15.68179,125.41094,2018-12-04T10:29:54.299+0000
20,21000,-15.71224,144.39443,2018-12-04T10:29:57.816+0000
21,-6000,-28.86622,126.48737,2018-12-04T10:29:42.756+0000
22,-47000,-15.5429,144.16741,2018-12-04T10:29:59.105+0000
23,17000,-14.84502,126.63143,2018-12-04T10:29:33.250+0000
24,-15000,20.34902,-94.04179,2018-12-04T10:29:55.960+0000
25,27000,-21.70528,149.63221,2018-12-04T10:29:39.446+0000
26,-84000,-15.72847,143.93937,2018-12-04T10:30:19.672+0000
27,-9000,-28.9926,127.85123,2018-12-04T10:30:25.807+0000
28,-42000,-15.65645,144.35816,2018-12-04T10:29:59.035+0000
29,34000,-17.92409,127.5015,2018-12-04T10:30:08.312+0000
30,24000,-12.25782,133.09798,2018-12-04T10:29:28.459+0000
31,-22000,-15.716190000000001,144.15554,2018-12-04T10:29:43.823+0000
32,-15000,4.42202,-25.46552,2018-12-04T10:30:20.425+0000
33,-4000,-16.54919,26.7091,2018-12-04T10:29:59.581+0000
34,-17000,-6.13792,-172.97955,2018-12-04T10:29:32.730+0000
35,-25000,-29.44895,128.55599,2018-12-04T10:29:37.077+0000
36,8000,-6.34546,33.37745,2018-12-04T10:30:21.885+0000
37,12000,-15.22674,143.21875,2018-12-04T10:29:30.978+0000
38,7000,-24.38255,155.09754,2018-12-04T10:29:39.658+0000
39,75000,-13.81066,133.68651,2018-12-04T10:29:28.628+0000
40,-17000,-15.56059,143.8715,2018-12-04T10:29:45.099+0000
41,3000,22.21242,-93.12011,2018-12-04T10:30:17.783+0000
42,13000,-12.37123,133.10504,2018-12-04T10:30:26.118+0000
43,4000,-15.9046,26.24778,2018-12-04T10:29:49.770+0000
44,4000,3.02543,30.32414,2018-12-04T10:29:34.545+0000
45,31000,-6.30711,33.00086,2018-12-04T10:30:17.404+0000
46,-10000,-15.6519,143.82635,2018-12-04T10:29:42.730+0000
47,4000,-22.02474,150.73547,2018-12-04T10:29:53.426+0000
48,-16000,22.23864,-93.14096,2018-12-04T10:29:32.189+0000
49,4000,-4.65458,-73.9753,2018-12-04T10:29:40.751+0000
50,-16000,-14.88329,126.56063,2018-12-04T10:29:53.002+0000
51,10000,-24.2595,125.6072,2018-12-04T10:29:59.289+0000
52,5000,-15.62918,144.49426,2018-12-04T10:30:20.863+0000
53,-30000,-30.54929,127.28426,2018-12-04T10:30:08.653+0000
54,-38000,-10.01196,118.77383,2018-12-04T10:29:51.168+0000
55,13000,-15.85922,143.92218,2018-12-04T10:30:17.731+0000
56,-8000,-4.9169,18.32907,2018-12-04T10:29:31.725+0000
57,14000,-15.65609,144.20219,2018-12-04T10:29:44.575+0000
58,-44000,20.75405,-94.17241,2018-12-04T10:29:46.134+0000
59,-40000,4.54005,113.75525,2018-12-04T10:29:39.456+0000
60,-19000,-4.78816,144.36268,2018-12-04T10:29:52.976+0000
61,-16000,-31.92286,125.6193,2018-12-04T10:30:22.785+0000
62,-19000,-2.74343,120.87163,2018-12-04T10:29:47.470+0000
63,29000,-12.46888,132.91351,2018-12-04T10:29:53.721+0000
64,4000,17.71632,-95.73962,2018-12-04T10:29:42.981+0000
65,13000,-15.70878,144.01053,2018-12-04T10:30:08.996+0000
66,-19000,-29.57321,129.18287,2018-12-04T10:29:42.829+0000
67,-14000,-22.052,150.68053,2018-12-04T10:29:44.711+0000
68,-14000,-15.28585,143.69055,2018-12-04T10:30:08.139+0000
69,-31000,-15.62421,144.22279,2018-12-04T10:29:48.637+0000
70,8000,-15.32597,143.72513,2018-12-04T10:30:06.534+0000
71,20000,-26.34794,126.63786,2018-12-04T10:30:24.796+0000
72,20000,28.06202,-81.10866,2018-12-04T10:30:07.216+0000
73,10000,-15.52205,143.31236,2018-12-04T10:30:01.566+0000
74,-15000,-15.64916,125.46247,2018-12-04T10:30:08.318+0000
75,16000,-12.35608,133.13542,2018-12-04T10:30:09.521+0000
76,-21000,20.22272,-94.00864,2018-12-04T10:29:56.271+0000
77,-28000,-29.41275,129.14458,2018-12-04T10:30:15.564+0000
78,-51000,-15.54279,143.90822,2018-12-04T10:29:38.450+0000
79,-35000,-29.39905,128.5392,2018-12-04T10:29:30.792+0000
80,4000,-27.94359,130.23067,2018-12-04T10:29:28.481+0000
81,12000,-13.2783,19.74547,2018-12-04T10:29:29.718+0000
82,32000,-15.37235,143.83057,2018-12-04T10:29:31.305+0000
83,-155000,35.65152,31.91043,2018-12-04T10:30:25.295+0000
84,11000,-15.59534,143.89017,2018-12-04T10:30:13.481+0000
85,11000,-21.74463,149.50336,2018-12-04T10:30:22.310+0000
86,8000,-5.3510100000000005,30.34411,2018-12-04T10:30:01.955+0000
87,10000,-29.55018,128.60758,2018-12-04T10:29:35.543+0000
88,-7000,35.80027,31.790210000000002,2018-12-04T10:30:22.271+0000
89,-18000,-0.2142,29.03624,2018-12-04T10:29:36.499+0000
90,-16000,-14.15456,132.85534,2018-12-04T10:29:50.420+0000
91,-43000,-2.6772400000000003,120.78048,2018-12-04T10:30:01.014+0000
92,10000,-27.85697,129.52041,2018-12-04T10:29:55.217+0000
93,10000,-15.42321,143.63023,2018-12-04T10:30:24.521+0000
94,-52000,-15.68081,143.94663,2018-12-04T10:29:36.571+0000
95,-22000,-16.25196,26.21437,2018-12-04T10:30:02.574+0000
96,14000,-15.334060000000001,143.19445,2018-12-04T10:30:02.253+0000
97,-11000,27.39478,132.74687,2018-12-04T10:30:15.666+0000
98,57000,-15.5322,143.872,2018-12-04T10:29:30.070+0000
99,-8000,-1.90422,16.87582,2018-12-04T10:30:15.390+0000
100,8000,-31.66471,125.52729,2018-12-04T10:29:57.887+0000
101,22000,-15.20299,143.4505,2018-12-04T10:30:14.393+0000
102,-20000,9.73859,94.13129,2018-12-04T10:29:43.307+0000
103,-43000,-15.3752,143.59826,2018-12-04T10:29:27.478+0000
104,-4000,-3.21711,35.60218,2018-12-04T10:30:03.376+0000
105,-10000,-8.22366,31.13043,2018-12-04T10:30:19.714+0000
106,-5000,-16.39167,26.45908,2018-12-04T10:30:12.237+0000
107,10000,-15.61359,144.2291,2018-12-04T10:29:34.560+0000
108,9000,-3.89,28.37024,2018-12-04T10:29:53.126+0000
109,-3000,-7.99167,36.28566,2018-12-04T10:29:44.156+0000
110,20000,-15.85734,143.78799,2018-12-04T10:29:51.792+0000
111,-18000,2.75979,101.76516,2018-12-04T10:29:54.502+0000
112,9000,-15.03479,142.78223,2018-12-04T10:29:59.955+0000
113,19000,-15.6805,144.35084,2018-12-04T10:29:57.673+0000
114,16000,-24.2205,125.40312,2018-12-04T10:29:50.980+0000
115,-15000,-7.59611,33.89621,2018-12-04T10:30:16.761+0000
