class,clds,day_ind,expire_time_gmt,valid_time_gmt,date,obs_name,pressure,temp,uv_desc,wdir,wdir_cardinal,wspd,wx_phrase
observation,CLR,D,1557755400,1557748200,2019-05-13,Hamburg/Finkenwerder,1036.14,14,Moderate,300,WNW,22,Fair
observation,CLR,D,1557751800,1557744600,2019-05-13,Hamburg/Finkenwerder,1036.14,13,Moderate,290,WNW,26,Fair
observation,CLR,D,1557748200,1557741000,2019-05-13,Hamburg/Finkenwerder,1037.14,13,Moderate,310,NW,19,Fair
observation,CLR,D,1557744600,1557737400,2019-05-13,Hamburg/Finkenwerder,1037.14,12,Moderate,300,WNW,20,Fair
observation,CLR,D,1557741000,1557733800,2019-05-13,Hamburg/Finkenwerder,1037.14,10,Low,310,NW,15,Fair
observation,CLR,D,1557737400,1557730200,2019-05-13,Hamburg/Finkenwerder,1037.14,9,Low,340,NNW,13,Fair
observation,CLR,D,1557733800,1557726600,2019-05-13,Hamburg/Finkenwerder,1036.14,8,Low,330,NNW,15,Fair
observation,CLR,D,1557730200,1557723000,2019-05-13,Hamburg/Finkenwerder,1036.14,6,Low,310,NW,11,Fair
observation,CLR,D,1557726600,1557719400,2019-05-13,Hamburg/Finkenwerder,1036.14,6,Low,300,WNW,13,Fair
observation,CLR,N,1557723000,1557715800,2019-05-13,Hamburg/Finkenwerder,1036.14,6,Low,250,WSW,7,Fair
observation,CLR,N,1557719400,1557712200,2019-05-13,Hamburg/Finkenwerder,1035.14,3,Low,240,WSW,9,Fair
observation,CLR,N,1557715800,1557708600,2019-05-13,Hamburg/Finkenwerder,1035.14,4,Low,230,SW,7,Fair
observation,CLR,N,1557712200,1557705000,2019-05-12,Hamburg/Finkenwerder,1035.14,7,Low,220,SW,6,Fair
observation,CLR,N,1557708600,1557701400,2019-05-12,Hamburg/Finkenwerder,1035.14,7,Low,260,W,7,Fair
observation,CLR,N,1557701400,1557694200,2019-05-12,Hamburg/Finkenwerder,1034.14,8,Low,320,NW,22,Fair
observation,CLR,N,1557697800,1557690600,2019-05-12,Hamburg/Finkenwerder,1034.14,9,Low,310,NW,24,Fair
observation,CLR,D,1557694200,1557687000,2019-05-12,Hamburg/Finkenwerder,1033.14,10,Low,310,NW,26,Fair
observation,CLR,D,1557690600,1557683400,2019-05-12,Hamburg/Finkenwerder,1033.14,11,Low,300,WNW,31,Fair
observation,CLR,D,1557687000,1557679800,2019-05-12,Hamburg/Finkenwerder,1032.14,12,Low,300,WNW,31,Fair
observation,FEW,D,1557683400,1557676200,2019-05-12,Hamburg/Finkenwerder,1032.14,12,Low,300,WNW,30,Fair
observation,FEW,D,1557679800,1557672600,2019-05-12,Hamburg/Finkenwerder,1031.14,13,Low,300,WNW,31,Fair
observation,FEW,D,1557676200,1557669000,2019-05-12,Hamburg/Finkenwerder,1031.14,13,Moderate,290,WNW,30,Fair
observation,CLR,D,1557672600,1557665400,2019-05-12,Hamburg/Finkenwerder,1030.14,13,Moderate,310,NW,30,Fair
observation,CLR,D,1557672600,1557665400,2019-05-12,Hamburg/Finkenwerder,1030.14,13,Moderate,310,NW,30,Fair
observation,FEW,D,1557669000,1557661800,2019-05-12,Hamburg/Finkenwerder,1030.14,13,Moderate,310,NW,30,Fair
observation,FEW,D,1557665400,1557658200,2019-05-12,Hamburg/Finkenwerder,1029.15,13,Moderate,300,WNW,28,Fair
observation,CLR,D,1557661800,1557654600,2019-05-12,Hamburg/Finkenwerder,1029.15,12,Moderate,300,WNW,26,Fair
observation,FEW,D,1557658200,1557651000,2019-05-12,Hamburg/Finkenwerder,1028.15,11,Moderate,320,NW,22,Fair
observation,FEW,D,1557654600,1557647400,2019-05-12,Hamburg/Finkenwerder,1028.15,10,Low,310,NW,24,Fair
observation,CLR,D,1557651000,1557643800,2019-05-12,Hamburg/Finkenwerder,1027.15,9,Low,330,NNW,26,Fair
observation,CLR,D,1557647400,1557640200,2019-05-12,Hamburg/Finkenwerder,1027.15,8,Low,320,NW,19,Fair
